Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Average,Mode,Median,,Standard Deviation
103,17-01-2023,CUST103,Female,59,Clothing,1,25,25,27.5,,,,10.80147559
238,17-01-2023,CUST238,Female,39,Beauty,1,500,500,260,,,,206.1981753
986,17-01-2023,CUST986,Female,49,Clothing,2,500,1000,387.75,,,,356.2180852
438,19-01-2023,CUST438,Female,42,Clothing,1,30,30,25.75,,,,12.0692986
475,20-01-2023,CUST475,Male,26,Clothing,3,25,75,32.25,,,,26.10518088
505,20-01-2023,CUST505,Male,24,Beauty,1,50,50,31.25,,,,20.03151813
344,21-01-2023,CUST344,Female,42,Beauty,1,30,30,25.75,,,,12.0692986
448,21-01-2023,CUST448,Female,54,Beauty,2,30,60,36.5,,,,20.66511251
742,21-01-2023,CUST742,Female,38,Electronics,4,500,2000,635.5,,,,739.8920846
445,22-01-2023,CUST445,Female,53,Electronics,1,300,300,163.5,,,,123.1038053
787,22-01-2023,CUST787,Male,41,Electronics,1,25,25,23,,,,10.13656747
49,23-01-2023,CUST049,Female,54,Electronics,2,500,1000,389,,,,356.1441948
420,23-01-2023,CUST420,Female,22,Clothing,4,500,2000,631.5,,,,740.0959714
519,23-01-2023,CUST519,Female,36,Electronics,4,30,120,47.5,,,,43.07460824
64,24-01-2023,CUST064,Male,49,Clothing,4,25,100,44.5,,,,35.69204218
592,24-01-2023,CUST592,Female,46,Beauty,4,500,2000,637.5,,,,739.7916409
912,24-01-2023,CUST912,Male,51,Beauty,3,50,150,63.5,,,,53.11705823
134,25-01-2023,CUST134,Male,49,Electronics,1,50,50,37.5,,,,20.07291396
288,26-01-2023,CUST288,Male,28,Clothing,4,30,120,45.5,,,,43.11666586
323,26-01-2023,CUST323,Female,29,Beauty,3,300,900,308,,,,325.6120199
618,26-01-2023,CUST618,Female,27,Beauty,1,50,50,32,,,,20.01718012
720,26-01-2023,CUST720,Female,56,Beauty,3,500,1500,514.75,,,,543.1874209
415,27-01-2023,CUST415,Male,53,Clothing,2,30,60,36.25,,,,20.65216015
736,27-01-2023,CUST736,Male,29,Clothing,4,25,100,39.5,,,,35.71829888
929,27-01-2023,CUST929,Female,23,Beauty,3,25,75,31.5,,,,26.11842022
264,28-01-2023,CUST264,Male,47,Clothing,3,300,900,312.5,,,,325.3767768
913,28-01-2023,CUST913,Male,29,Electronics,3,30,90,38,,,,31.51487744
940,28-01-2023,CUST940,Female,20,Electronics,1,30,30,20.25,,,,11.83925541
101,29-01-2023,CUST101,Male,32,Clothing,2,300,600,233.5,,,,213.4163697
189,30-01-2023,CUST189,Male,63,Beauty,1,50,50,41,,,,20.2546291
317,30-01-2023,CUST317,Male,22,Electronics,3,30,90,36.25,,,,31.55519717
322,30-01-2023,CUST322,Male,51,Electronics,1,500,500,263,,,,206.0012136
329,30-01-2023,CUST329,Female,46,Electronics,4,25,100,43.75,,,,35.68760946
235,31-01-2023,CUST235,Female,23,Electronics,2,500,1000,381.25,,,,356.6153116
300,31-01-2023,CUST300,Female,19,Electronics,4,50,200,68.25,,,,72.8230679
964,31-01-2023,CUST964,Male,24,Clothing,3,300,900,306.75,,,,325.679404
269,01-02-2023,CUST269,Male,25,Clothing,4,500,2000,632.25,,,,740.0574381
320,01-02-2023,CUST320,Female,28,Electronics,4,300,1200,383,,,,443.4277703
673,01-02-2023,CUST673,Female,43,Clothing,3,500,1500,511.5,,,,543.3607659
142,02-02-2023,CUST142,Male,35,Electronics,4,300,1200,384.75,,,,443.3408457
223,02-02-2023,CUST223,Female,64,Clothing,1,25,25,28.75,,,,11.04023183
666,02-02-2023,CUST666,Male,51,Electronics,3,50,150,63.5,,,,53.11705823
107,03-02-2023,CUST107,Female,21,Clothing,4,300,1200,381.25,,,,443.5159726
933,03-02-2023,CUST933,Male,22,Beauty,1,30,30,20.75,,,,11.8405751
237,04-02-2023,CUST237,Female,50,Beauty,2,500,1000,388,,,,356.2032425
335,04-02-2023,CUST335,Female,47,Beauty,4,30,120,50.25,,,,43.04517068
63,05-02-2023,CUST063,Male,57,Electronics,2,25,50,33.5,,,,17.31103333
195,05-02-2023,CUST195,Male,52,Clothing,1,30,30,28.25,,,,12.32550075
333,05-02-2023,CUST333,Female,54,Electronics,4,300,1200,389.5,,,,443.1113538
379,05-02-2023,CUST379,Female,47,Clothing,1,25,25,24.5,,,,10.32215457
490,05-02-2023,CUST490,Male,34,Clothing,3,50,150,59.25,,,,53.21136362
530,05-02-2023,CUST530,Female,18,Electronics,4,30,120,43,,,,43.19360485
740,05-02-2023,CUST740,Female,25,Beauty,4,50,200,69.75,,,,72.76253651
793,05-02-2023,CUST793,Male,54,Beauty,1,30,30,28.75,,,,12.38746216
85,06-02-2023,CUST085,Male,31,Clothing,3,50,150,58.5,,,,53.23459284
232,06-02-2023,CUST232,Female,43,Beauty,1,25,25,23.5,,,,10.19420791
240,06-02-2023,CUST240,Female,23,Beauty,1,300,300,156,,,,123.5665307
993,06-02-2023,CUST993,Female,48,Electronics,3,50,150,62.75,,,,53.12908073
366,07-02-2023,CUST366,Male,57,Clothing,2,50,100,52.25,,,,34.65741939
372,07-02-2023,CUST372,Female,24,Beauty,3,500,1500,506.75,,,,543.6205701
596,07-02-2023,CUST596,Female,64,Electronics,1,300,300,166.25,,,,122.955197
936,07-02-2023,CUST936,Male,57,Beauty,4,50,200,77.75,,,,72.53714027
284,08-02-2023,CUST284,Male,43,Clothing,4,50,200,74.25,,,,72.61550605
434,08-02-2023,CUST434,Female,43,Electronics,2,25,50,30,,,,17.0788612
775,08-02-2023,CUST775,Female,46,Electronics,4,25,100,43.75,,,,35.68760946
977,08-02-2023,CUST977,Female,35,Electronics,3,25,75,34.5,,,,26.08968906
649,09-02-2023,CUST649,Female,58,Clothing,2,300,600,240,,,,213.0510502
54,10-02-2023,CUST054,Female,38,Electronics,3,500,1500,510.25,,,,543.4283927
68,10-02-2023,CUST068,Male,25,Electronics,1,300,300,156.5,,,,123.5330801
192,10-02-2023,CUST192,Male,62,Beauty,2,50,100,53.5,,,,34.6723503
331,11-02-2023,CUST331,Male,28,Electronics,3,30,90,37.75,,,,31.5195252
346,11-02-2023,CUST346,Male,59,Clothing,2,500,1000,390.25,,,,356.0711119
657,11-02-2023,CUST657,Male,40,Clothing,1,25,25,22.75,,,,10.10936293
732,11-02-2023,CUST732,Male,61,Electronics,2,500,1000,390.75,,,,356.0421049
972,11-02-2023,CUST972,Male,49,Beauty,4,25,100,44.5,,,,35.69204218
714,12-02-2023,CUST714,Female,18,Clothing,1,500,500,254.75,,,,206.5620651
193,13-02-2023,CUST193,Male,35,Beauty,3,500,1500,509.5,,,,543.4692235
577,13-02-2023,CUST577,Male,21,Beauty,4,500,2000,631.25,,,,740.108847
848,13-02-2023,CUST848,Female,63,Clothing,3,25,75,41.5,,,,26.27350138
945,13-02-2023,CUST945,Male,30,Beauty,1,25,25,20.25,,,,9.89850841
11,14-02-2023,CUST011,Male,23,Clothing,2,50,100,43.75,,,,34.77983207
821,14-02-2023,CUST821,Male,49,Electronics,1,300,300,162.5,,,,123.1606547
133,16-02-2023,CUST133,Male,20,Electronics,3,300,900,305.75,,,,325.7339489
16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500,505.5,,,,543.6902122
42,17-02-2023,CUST042,Male,22,Clothing,3,300,900,306.25,,,,325.7066057
292,17-02-2023,CUST292,Male,20,Beauty,4,300,1200,381,,,,443.5286772
416,17-02-2023,CUST416,Male,53,Electronics,4,500,2000,639.25,,,,739.7045731
584,17-02-2023,CUST584,Female,27,Beauty,4,50,200,70.25,,,,72.74363696
861,17-02-2023,CUST861,Female,41,Clothing,3,30,90,41,,,,31.48809299
256,18-02-2023,CUST256,Male,23,Clothing,2,500,1000,381.25,,,,356.6153116
44,19-02-2023,CUST044,Female,22,Clothing,1,25,25,18.25,,,,9.812898081
257,19-02-2023,CUST257,Male,19,Beauty,4,500,2000,630.75,,,,740.1346452
268,20-02-2023,CUST268,Female,28,Electronics,1,30,30,22.25,,,,11.86825466
287,20-02-2023,CUST287,Male,54,Clothing,4,25,100,45.75,,,,35.70599346
966,20-02-2023,CUST966,Male,60,Electronics,2,500,1000,390.5,,,,356.0565922
70,21-02-2023,CUST070,Female,43,Clothing,1,300,300,161,,,,123.2487322
371,21-02-2023,CUST371,Female,20,Beauty,1,25,25,17.75,,,,9.803339673
900,21-02-2023,CUST900,Male,21,Clothing,2,30,60,28.25,,,,20.53683809
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,39.75,,,,35.71386942
41,22-02-2023,CUST041,Male,34,Clothing,2,25,50,27.75,,,,16.99942554
454,22-02-2023,CUST454,Female,46,Beauty,1,25,25,24.25,,,,10.28860869
780,22-02-2023,CUST780,Male,52,Electronics,2,25,50,32.25,,,,17.21316266
920,22-02-2023,CUST920,Female,28,Beauty,3,25,75,32.75,,,,26.09859611
396,23-02-2023,CUST396,Female,55,Beauty,1,30,30,29,,,,12.41974235
168,24-02-2023,CUST168,Male,53,Clothing,1,300,300,163.5,,,,123.1038053
400,24-02-2023,CUST400,Male,53,Clothing,4,50,200,76.75,,,,72.55630895
611,24-02-2023,CUST611,Male,51,Beauty,3,500,1500,513.5,,,,543.2536672
800,24-02-2023,CUST800,Male,32,Clothing,4,300,1200,384,,,,443.3779426
272,25-02-2023,CUST272,Female,61,Electronics,2,50,100,53.25,,,,34.66868859
473,25-02-2023,CUST473,Male,64,Beauty,1,50,50,41.25,,,,20.27188247
506,25-02-2023,CUST506,Male,34,Beauty,3,500,1500,509.25,,,,543.4828762
766,25-02-2023,CUST766,Male,38,Electronics,3,300,900,310.25,,,,325.4929615
135,26-02-2023,CUST135,Male,20,Clothing,2,25,50,24.25,,,,16.98655259
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,382,,,,356.5683665
158,27-02-2023,CUST158,Female,44,Electronics,2,300,600,236.5,,,,213.2432223
185,27-02-2023,CUST185,Male,24,Clothing,1,25,25,18.75,,,,9.827218261
433,27-02-2023,CUST433,Male,29,Beauty,4,50,200,70.75,,,,72.72537706
152,28-02-2023,CUST152,Male,43,Electronics,4,500,2000,636.75,,,,739.8291901
753,28-02-2023,CUST753,Female,32,Clothing,1,30,30,23.25,,,,11.90637303
763,28-02-2023,CUST763,Male,34,Clothing,2,25,50,27.75,,,,16.99942554
932,28-02-2023,CUST932,Female,45,Beauty,4,25,100,43.5,,,,35.68678852
399,01-03-2023,CUST399,Female,64,Beauty,2,30,60,39,,,,20.82516507
500,01-03-2023,CUST500,Female,60,Beauty,4,25,100,47.25,,,,35.73355172
514,01-03-2023,CUST514,Female,18,Electronics,1,300,300,154.75,,,,123.651776
947,02-03-2023,CUST947,Male,50,Beauty,1,300,300,162.75,,,,123.1463021
220,03-03-2023,CUST220,Male,64,Beauty,1,500,500,266.25,,,,205.7968792
339,03-03-2023,CUST339,Female,22,Electronics,2,25,50,24.75,,,,16.98011245
785,03-03-2023,CUST785,Female,31,Beauty,4,50,200,71.25,,,,72.70775728
885,03-03-2023,CUST885,Female,52,Clothing,4,30,120,51.5,,,,43.04267504
888,03-03-2023,CUST888,Female,52,Electronics,4,25,100,45.25,,,,35.69942883
621,04-03-2023,CUST621,Female,40,Beauty,2,500,1000,385.5,,,,356.353121
52,05-03-2023,CUST052,Female,36,Beauty,1,300,300,159.25,,,,123.3557324
536,05-03-2023,CUST536,Female,55,Beauty,4,30,120,52.25,,,,43.04444469
197,06-03-2023,CUST197,Female,42,Clothing,4,50,200,74,,,,72.62231062
750,06-03-2023,CUST750,Female,35,Clothing,3,25,75,34.5,,,,26.08968906
910,06-03-2023,CUST910,Female,20,Beauty,3,50,150,55.75,,,,53.33660065
917,06-03-2023,CUST917,Female,57,Electronics,4,50,200,77.75,,,,72.53714027
198,07-03-2023,CUST198,Female,54,Beauty,3,300,900,314.25,,,,325.2883997
444,07-03-2023,CUST444,Female,61,Clothing,3,30,90,46,,,,31.56243812
547,07-03-2023,CUST547,Male,63,Clothing,4,500,2000,641.75,,,,739.5815197
705,07-03-2023,CUST705,Male,60,Electronics,2,25,50,34.25,,,,17.37758524
423,08-03-2023,CUST423,Female,27,Clothing,1,25,25,19.5,,,,9.857579571
248,09-03-2023,CUST248,Male,26,Clothing,3,300,900,307.25,,,,325.6523441
360,09-03-2023,CUST360,Male,42,Clothing,4,25,100,42.75,,,,35.68629595
377,09-03-2023,CUST377,Female,46,Clothing,4,50,200,75,,,,72.59605706
397,10-03-2023,CUST397,Female,30,Beauty,1,25,25,20.25,,,,9.89850841
623,10-03-2023,CUST623,Male,34,Clothing,3,50,150,59.25,,,,53.21136362
717,11-03-2023,CUST717,Male,57,Clothing,1,500,500,264.5,,,,205.9057354
130,12-03-2023,CUST130,Female,57,Clothing,1,500,500,264.5,,,,205.9057354
658,12-03-2023,CUST658,Male,59,Clothing,1,25,25,27.5,,,,10.80147559
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,30.75,,,,17.11758507
119,13-03-2023,CUST119,Female,60,Clothing,3,50,150,65.75,,,,53.09289471
278,13-03-2023,CUST278,Female,37,Clothing,4,25,100,41.5,,,,35.69204218
117,15-03-2023,CUST117,Male,19,Electronics,2,500,1000,380.25,,,,356.6783554
442,17-03-2023,CUST442,Female,60,Clothing,4,25,100,47.25,,,,35.73355172
590,17-03-2023,CUST590,Male,36,Clothing,3,300,900,309.75,,,,325.5191707
607,17-03-2023,CUST607,Male,54,Clothing,3,25,75,39.25,,,,26.17631026
436,18-03-2023,CUST436,Female,57,Clothing,4,30,120,52.75,,,,43.04698559
942,18-03-2023,CUST942,Male,51,Clothing,3,500,1500,513.5,,,,543.2536672
659,19-03-2023,CUST659,Female,39,Electronics,1,30,30,25,,,,12.01041215
941,19-03-2023,CUST941,Female,57,Clothing,2,25,50,33.5,,,,17.31103333
136,20-03-2023,CUST136,Male,44,Electronics,2,300,600,236.5,,,,213.2432223
175,20-03-2023,CUST175,Female,31,Electronics,4,25,100,40,,,,35.70976757
663,20-03-2023,CUST663,Male,23,Clothing,4,300,1200,381.75,,,,443.4906416
748,20-03-2023,CUST748,Male,25,Clothing,3,50,150,57,,,,53.286959
806,20-03-2023,CUST806,Female,35,Beauty,3,300,900,309.5,,,,325.5323285
38,21-03-2023,CUST038,Male,38,Beauty,4,50,200,73,,,,72.65113557
313,21-03-2023,CUST313,Female,55,Beauty,3,500,1500,514.5,,,,543.2006276
402,21-03-2023,CUST402,Female,41,Clothing,2,300,600,235.75,,,,213.2857806
459,21-03-2023,CUST459,Male,28,Clothing,4,300,1200,383,,,,443.4277703
161,22-03-2023,CUST161,Male,64,Beauty,2,500,1000,391.5,,,,355.9988369
328,22-03-2023,CUST328,Male,39,Beauty,2,50,100,47.75,,,,34.67364588
383,22-03-2023,CUST383,Female,46,Beauty,3,30,90,42.25,,,,31.4927447
973,22-03-2023,CUST973,Male,60,Clothing,1,50,50,40.25,,,,20.20626063
978,22-03-2023,CUST978,Female,53,Clothing,3,50,150,64,,,,53.11014498
33,23-03-2023,CUST033,Female,50,Electronics,2,50,100,50.5,,,,34.65071247
138,23-03-2023,CUST138,Male,49,Clothing,4,50,200,75.75,,,,72.57805604
471,23-03-2023,CUST471,Male,32,Clothing,3,50,150,58.75,,,,53.22663073
636,23-03-2023,CUST636,Female,21,Beauty,3,500,1500,506,,,,543.6622918
177,24-03-2023,CUST177,Male,45,Beauty,2,50,100,49.25,,,,34.65606684
426,24-03-2023,CUST426,Male,23,Electronics,3,50,150,56.5,,,,53.3061617
76,25-03-2023,CUST076,Female,22,Electronics,2,50,100,43.5,,,,34.78932128
91,25-03-2023,CUST091,Female,55,Electronics,1,500,500,264,,,,205.9373388
461,25-03-2023,CUST461,Female,18,Beauty,2,500,1000,380,,,,356.6941968
764,25-03-2023,CUST764,Female,40,Clothing,1,25,25,22.75,,,,10.10936293
202,26-03-2023,CUST202,Female,34,Clothing,4,300,1200,384.5,,,,443.3531853
301,26-03-2023,CUST301,Male,30,Clothing,4,30,120,46,,,,43.10452412
703,26-03-2023,CUST703,Male,34,Electronics,2,50,100,46.5,,,,34.69757736
294,27-03-2023,CUST294,Female,23,Clothing,3,30,90,36.5,,,,31.54832603
760,27-03-2023,CUST760,Male,27,Beauty,1,500,500,257,,,,206.403125
575,28-03-2023,CUST575,Male,60,Clothing,2,50,100,53,,,,34.66536456
88,29-03-2023,CUST088,Male,56,Clothing,1,500,500,264.25,,,,205.9215092
975,30-03-2023,CUST975,Female,56,Clothing,4,50,200,77.5,,,,72.5416906
553,31-03-2023,CUST553,Male,24,Clothing,4,300,1200,382,,,,443.4780152
462,01-04-2023,CUST462,Male,63,Electronics,4,300,1200,391.75,,,,443.0059387
614,01-04-2023,CUST614,Female,39,Beauty,4,300,1200,385.75,,,,443.2917484
808,01-04-2023,CUST808,Male,33,Beauty,4,500,2000,634.25,,,,739.9553697
166,02-04-2023,CUST166,Male,34,Clothing,4,500,2000,634.5,,,,739.9426815
465,02-04-2023,CUST465,Female,43,Electronics,3,50,150,61.5,,,,53.15352176
502,02-04-2023,CUST502,Male,43,Electronics,3,50,150,61.5,,,,53.15352176
905,02-04-2023,CUST905,Male,58,Beauty,1,300,300,164.75,,,,123.0348496
280,04-04-2023,CUST280,Female,37,Clothing,3,500,1500,510,,,,543.4419817
719,04-04-2023,CUST719,Female,42,Clothing,2,30,60,33.5,,,,20.54682153
834,04-04-2023,CUST834,Female,56,Beauty,2,30,60,37,,,,20.69269195
891,05-04-2023,CUST891,Male,41,Electronics,3,300,900,311,,,,325.4539138
928,05-04-2023,CUST928,Female,35,Clothing,4,300,1200,384.75,,,,443.3408457
332,06-04-2023,CUST332,Male,58,Electronics,4,300,1200,390.5,,,,443.0642413
255,08-04-2023,CUST255,Male,48,Clothing,1,30,30,27.25,,,,12.21215455
275,08-04-2023,CUST275,Male,43,Clothing,2,500,1000,386.25,,,,356.3078188
314,08-04-2023,CUST314,Male,52,Clothing,4,30,120,51.5,,,,43.04267504
517,08-04-2023,CUST517,Female,47,Clothing,4,25,100,44,,,,35.68875873
847,08-04-2023,CUST847,Female,18,Electronics,4,300,1200,380.5,,,,443.5541645
61,09-04-2023,CUST061,Male,21,Beauty,4,50,200,68.75,,,,72.8022525
274,09-04-2023,CUST274,Female,23,Clothing,2,500,1000,381.25,,,,356.6153116
486,09-04-2023,CUST486,Female,35,Electronics,1,25,25,21.5,,,,9.989838587
548,09-04-2023,CUST548,Female,51,Clothing,2,30,60,35.75,,,,20.6279354
886,09-04-2023,CUST886,Male,37,Electronics,3,300,900,310,,,,325.5060483
892,09-04-2023,CUST892,Male,20,Electronics,1,50,50,30.25,,,,20.05880028
601,10-04-2023,CUST601,Male,19,Clothing,1,30,30,20,,,,11.84008024
901,10-04-2023,CUST901,Male,31,Electronics,1,30,30,23,,,,11.89537725
527,11-04-2023,CUST527,Male,57,Clothing,2,25,50,33.5,,,,17.31103333
23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,47.25,,,,43.07891559
174,12-04-2023,CUST174,Female,39,Beauty,1,300,300,160,,,,123.3093164
589,12-04-2023,CUST589,Female,36,Beauty,2,500,1000,384.5,,,,356.4139754
774,12-04-2023,CUST774,Female,40,Clothing,2,25,50,29.25,,,,17.04623767
1000,12-04-2023,CUST1000,Male,47,Electronics,4,30,120,50.25,,,,43.04517068
210,13-04-2023,CUST210,Male,37,Electronics,4,50,200,72.75,,,,72.65874324
478,13-04-2023,CUST478,Female,58,Clothing,2,30,60,37.5,,,,20.72249683
745,13-04-2023,CUST745,Male,54,Beauty,2,50,100,51.5,,,,34.65251614
354,15-04-2023,CUST354,Female,49,Beauty,4,50,200,75.75,,,,72.57805604
408,15-04-2023,CUST408,Female,64,Beauty,1,500,500,266.25,,,,205.7968792
674,16-04-2023,CUST674,Female,38,Clothing,1,300,300,159.75,,,,123.3246953
967,17-04-2023,CUST967,Male,62,Beauty,1,25,25,28.25,,,,10.94214187
79,18-04-2023,CUST079,Male,34,Beauty,1,300,300,158.75,,,,123.3871416
406,18-04-2023,CUST406,Female,22,Beauty,4,25,100,37.75,,,,35.75846709
450,18-04-2023,CUST450,Female,59,Beauty,2,25,50,34,,,,17.35475439
562,18-04-2023,CUST562,Male,54,Electronics,2,25,50,32.75,,,,17.25033967
108,19-04-2023,CUST108,Female,27,Beauty,3,25,75,32.5,,,,26.10166422
111,19-04-2023,CUST111,Female,34,Electronics,3,500,1500,509.25,,,,543.4828762
207,19-04-2023,CUST207,Female,42,Beauty,2,25,50,29.75,,,,17.06730702
724,19-04-2023,CUST724,Male,61,Clothing,3,50,150,66,,,,53.09131285
836,19-04-2023,CUST836,Female,22,Clothing,1,50,50,30.75,,,,20.04399458
969,19-04-2023,CUST969,Female,40,Clothing,3,300,900,310.75,,,,325.4668942
246,20-04-2023,CUST246,Female,48,Electronics,2,25,50,31.25,,,,17.14676992
298,20-04-2023,CUST298,Male,27,Beauty,4,300,1200,382.75,,,,443.4402925
374,20-04-2023,CUST374,Female,59,Beauty,3,25,75,40.5,,,,26.22588178
572,20-04-2023,CUST572,Male,31,Clothing,4,500,2000,633.75,,,,739.9807931
665,20-04-2023,CUST665,Male,57,Clothing,1,50,50,39.5,,,,20.16300759
39,21-04-2023,CUST039,Male,23,Clothing,4,30,120,44.25,,,,43.151758
893,21-04-2023,CUST893,Male,49,Electronics,1,50,50,37.5,,,,20.07291396
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,39,,,,35.72814017
316,22-04-2023,CUST316,Female,48,Clothing,2,25,50,31.25,,,,17.14676992
755,22-04-2023,CUST755,Female,58,Clothing,3,25,75,40.25,,,,26.21508094
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,261,,,,206.1316327
98,23-04-2023,CUST098,Female,55,Beauty,2,50,100,51.75,,,,34.65381247
129,23-04-2023,CUST129,Female,21,Beauty,2,300,600,230.75,,,,213.5819058
230,23-04-2023,CUST230,Male,54,Beauty,1,25,25,26.25,,,,10.58503513
613,23-04-2023,CUST613,Female,52,Clothing,3,30,90,43.75,,,,31.51060089
691,23-04-2023,CUST691,Female,51,Clothing,3,30,90,43.5,,,,31.50669572
693,23-04-2023,CUST693,Male,41,Beauty,3,500,1500,511,,,,543.3877529
477,24-04-2023,CUST477,Male,43,Clothing,4,30,120,49.25,,,,43.05206695
863,24-04-2023,CUST863,Female,30,Electronics,2,25,50,26.75,,,,16.98195274
6,25-04-2023,CUST006,Female,45,Beauty,1,30,30,26.5,,,,12.1365924
483,25-04-2023,CUST483,Male,55,Clothing,1,30,30,29,,,,12.41974235
738,25-04-2023,CUST738,Male,41,Clothing,2,50,100,48.25,,,,34.66643505
222,26-04-2023,CUST222,Male,51,Clothing,4,30,120,51.25,,,,43.04262967
588,26-04-2023,CUST588,Male,38,Electronics,2,30,60,32.5,,,,20.52551765
953,26-04-2023,CUST953,Male,45,Beauty,3,30,90,42,,,,31.49107016
66,27-04-2023,CUST066,Female,45,Electronics,1,30,30,26.5,,,,12.1365924
482,27-04-2023,CUST482,Female,28,Clothing,4,300,1200,383,,,,443.4277703
903,27-04-2023,CUST903,Female,51,Beauty,4,50,200,76.25,,,,72.56686033
102,28-04-2023,CUST102,Female,47,Beauty,2,25,50,31,,,,17.1318417
228,28-04-2023,CUST228,Female,59,Electronics,2,30,60,37.75,,,,20.73823085
236,28-04-2023,CUST236,Female,54,Clothing,1,25,25,26.25,,,,10.58503513
660,29-04-2023,CUST660,Female,38,Beauty,2,500,1000,385,,,,356.3834838
884,29-04-2023,CUST884,Female,26,Clothing,2,30,60,29.5,,,,20.51638065
987,29-04-2023,CUST987,Female,30,Clothing,3,300,900,308.25,,,,325.5986494
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,31,,,,17.1318417
69,30-04-2023,CUST069,Female,56,Beauty,3,25,75,39.75,,,,26.19480805
995,30-04-2023,CUST995,Female,41,Clothing,1,30,30,25.5,,,,12.04872919
337,01-05-2023,CUST337,Male,38,Clothing,1,500,500,259.75,,,,206.2149497
585,01-05-2023,CUST585,Female,24,Clothing,1,25,25,18.75,,,,9.827218261
652,01-05-2023,CUST652,Female,34,Beauty,2,50,100,46.5,,,,34.69757736
242,02-05-2023,CUST242,Male,21,Clothing,1,25,25,18,,,,9.807522623
